Município;Responsável
INSTITUTO DE PREVIDENCIA DOS SERVIDORES DE SONORA (IPS);EDIVAN PEREIRA DA COSTA
ASSOC DE PAIS E MESTRES EEPPSG PROF CECILIA M H PERECIN;POLLYANNA MONTEIRO TEIXEIRA FINGER
PEIXE CAMARA MUNICIPAL;GICELMA FERREIRA DOS SANTOS
MUNICIPIO DE ALMAS;RAINERIVAL RIBEIRO XAVIER
MUNICIPIO DE BANDEIRANTES DO TOCANTINS;SAULO GONCALVES BORGES
MUNICIPIO DE BARRA DO OURO;NELIDA VASCONCELOS MIRANDA CAVALCANTE
MUNICIPIO DE BREJINHO DE NAZARE;MURILO LUIZ MARTINS MORAIS
MUNICIPIO DE CRISTALANDIA;WILSON JUNIOR CARVALHO DE OLIVEIRA
MUNICIPIO DE GUARAI;MARIA DE FATIMA COELHO NUNES
MUNICIPIO DE JAU DO TOCANTINS;LUCIENE LOURENCO DE ARAUJO
MUNICIPIO DE LAGOA DA CONFUSAO;THIAGO SOARES CARLOS
MUNICIPIO DE LAJEADO;MARCIA DA COSTA REIS CARVALHO
MUNICIPIO DE MAURILANDIA DO TOCANTINS;RAFAEL MARACAIPE DE ALMEIDA
MUNICIPIO DE NATIVIDADE;THIAGO JAYME RODRIGUES DE CERQUEIRA
MUNICIPIO DE PALMEIRAS DO TOCANTINS;FRANCISCO NOLETO JUNIOR
MUNICIPIO DE PALMEIROPOLIS;WLISSES BARROS DE SOUZA
MUNICIPIO DE PARAISO DO TOCANTINS;CELSO SOARES REGO MORAIS
MUNICIPIO DE PEDRO AFONSO;JOAQUIM MARTINS PINHEIRO FILHO
MUNICIPIO DE PEIXE;AUGUSTO CEZAR PEREIRA DOS SANTOS
MUNICIPIO DE PIUM;FERNANDO BELARMINO DA SILVA
MUNICIPIO DE SANTA MARIA DO TOCANTINS;LEONARDO NOLETO MOREIRA
MUNICIPIO DE SANTA RITA DO TOCANTINS;LUCIANO PEREIRA DA COSTA
MUNICIPIO DE SILVANOPOLIS;MATHEUS HENRIQUE LEMOS
